CODIGO CIUDAD ORIGEN;Ciudad Origen;ZONA DESTINO;Pais Destino;CODIGO CIUDAD DESTINO ;Ciudad Destino;TIPO DE TRAYECTO;FLETE X UNID DE PESO ;TIEMPO DE ENTREGA;TRAYECTO EQUIVALENTE. SI NO POSEE, COLOQUE EL MISMO TIPO DE TRAYECTO;REGIONAL ORIGEN;CODIGO DANE REGIONAL ORIGEN
63001000;ARMENIA(QUINDIO);;colombia;5002000;ABEJORRAL(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;54003000;ABREGO(NORTE DE SANTANDER);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;50006000;ACACIAS(META);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;41006000;ACEVEDO(HUILA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;13006000;ACHI(BOLIVAR);ZONAL;4331;3;ZONAL;;
63001000;ARMENIA(QUINDIO);;colombia;41013000;AGRADO(HUILA);OTROS DESTINOS;2711;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;54001001;AGUA CLARA(NORTE DE SANTANDER);OTROS DESTINOS;3233;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;25001000;AGUA DE DIOS(CUNDINAMARCA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;AGUA LINDA(NORTE DE SANTANDER);OTROS DESTINOS;3233;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;20011000;AGUACHICA(CESAR);ZONAL;3041;3;ZONAL;;
63001000;ARMENIA(QUINDIO);;colombia;0;AGUACLARA(VALLE DEL CAUCA);NACIONAL;1660;3;NACIONAL;;
63001000;ARMENIA(QUINDIO);;colombia;68013000;AGUADA(SANTANDER);NACIONAL;2587;3;NACIONAL;;
63001000;ARMENIA(QUINDIO);;colombia;17013000;AGUADAS(CALDAS);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;85010000;AGUAZUL(CASANARE);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;20013000;AGUSTIN CODAZZI(CESAR);OTROS DESTINOS;2990;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;41016000;AIPE(HUILA);OTROS DESTINOS;2603;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;25019000;ALBAN(CUNDINAMARCA);OTROS DESTINOS;3056;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;18029000;ALBANIA(CAQUETA);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;ALBANIA(GUAJIRA);OTROS DESTINOS;3020;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;68020000;ALBANIA(SANTANDER);ZONAL;4080;3;ZONAL;;
63001000;ARMENIA(QUINDIO);;colombia;76020000;ALCALA(VALLE DEL CAUCA);NACIONAL;1129;3;NACIONAL;;
63001000;ARMENIA(QUINDIO);;colombia;52022000;ALDANA(NARINO);OTROS DESTINOS;2942;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;5021000;ALEJANDRIA(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;47030000;ALGARROBO(MAGDALENA);OTROS DESTINOS;3020;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;41020000;ALGECIRAS(HUILA);OTROS DESTINOS;2834;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;19022000;ALMAGUER(CAUCA);DESTINOS ESPECIALES;6651;10;DESTINOS ESPECIALES;;
63001000;ARMENIA(QUINDIO);;colombia;15022000;ALMEIDA(BOYACA);OTROS DESTINOS;2517;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;73024000;ALPUJARRA(TOLIMA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;ALTAMIRA(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;41026000;ALTAMIRA(HUILA);OTROS DESTINOS;2635;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;ALTO CORINTO(CALDAS);NACIONAL;1314;3;NACIONAL;;
63001000;ARMENIA(QUINDIO);;colombia;0;ALTO JORDAN(SANTANDER);ZONAL;3262;3;ZONAL;;
63001000;ARMENIA(QUINDIO);;colombia;50001015;ALTO POMPEYA(META);OTROS DESTINOS;2547;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;17001010;ALTO TABLAZO(CALDAS);NACIONAL;1314;3;NACIONAL;;
63001000;ARMENIA(QUINDIO);;colombia;73026000;ALVARADO(TOLIMA);OTROS DESTINOS;1973;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;5030000;AMAGA(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;AMAIME(VALLE DEL CAUCA);REGIONAL;875000;2;REGIONAL;;
63001000;ARMENIA(QUINDIO);;colombia;5031000;AMALFI(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;73030000;AMBALEMA(TOLIMA);OTROS DESTINOS;2045;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;25035000;ANAPOIMA(CUNDINAMARCA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;52036000;ANCUYA(NARINO);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;ANDAGOYA(CHOCO);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;76036000;ANDALUCIA(VALLE DEL CAUCA);ZONAL;2346;3;ZONAL;;
63001000;ARMENIA(QUINDIO);;colombia;5034000;ANDES(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;5036000;ANGELOPOLIS(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;5038000;ANGOSTURA(ANTIOQUIA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
63001000;ARMENIA(QUINDIO);;colombia;0;ANIMAS(CHOCO);DESTINOS ESPECIALES;6651;10;DESTINOS ESPECIALES;;
